i,j,re,im
1,1,0.1987661103,-0.3095598757
1,2,0.3228445825,-0.1763707992
1,3,0.3476302333,-0.1203682022
1,4,0.3564429602,-0.0910148303
1,5,0.3605463450,-0.0730863624
1,6,0.3627818209,-0.0610297766
1,7,0.3641319491,-0.0523756324
1,8,0.3650091234,-0.0458652712
1,9,0.3656109157,-0.0407914394
2,1,0.0771619996,-0.4818187744
2,2,0.3332466109,-0.2685201766
2,3,0.3748663267,-0.1801562406
2,4,0.3887452493,-0.1352656309
2,5,0.3950369682,-0.1082453048
2,6,0.3984183769,-0.0902142889
2,7,0.4004446891,-0.0773301697
2,8,0.4017547323,-0.0676654454
2,9,0.4026505541,-0.0601477953
3,1,-0.2256877572,-1.2391393906
3,2,0.6478947321,-0.6902581039
3,3,0.7655560731,-0.4551094325
3,4,0.8024166047,-0.3392642144
3,5,0.8186920055,-0.2705449113
3,6,0.8273221736,-0.2250399151
3,7,0.8324538062,-0.1926709448
3,8,0.8357553293,-0.1684596766
3,9,0.8380055822,-0.1496633971
4,1,-2.264361410,-4.327440808
4,2,1.839842165,-2.493713079
4,3,2.306093198,-1.615251258
4,4,2.443519764,-1.195343386
4,5,2.502643441,-0.949851993
4,6,2.533579464,-0.788538890
4,7,2.551833194,-0.674310194
4,8,2.563520136,-0.589114441
4,9,2.571459844,-0.523100743
5,1,-17.52755660,-18.39628590
5,2,6.813849752,-11.604567948
5,3,9.187920472,-7.382161401
5,4,9.847181866,-5.422666278
5,5,10.123636094,-4.293586701
5,6,10.266392566,-3.557357046
5,7,10.349982962,-3.038371617
5,8,10.403243659,-2.652402892
5,9,10.439310050,-2.353912713
6,1,-142.2147946,-86.3667589
6,2,30.77417029,-66.07794662
6,3,45.53239729,-41.27240252
6,4,49.39827607,-30.08931501
6,5,50.97891899,-23.73809546
6,6,51.78453447,-19.62845688
6,7,52.25268314,-16.74454297
6,8,52.54953922,-14.60592302
6,9,52.74991236,-12.95520302
7,1,-1260.0550811,-379.9000571
7,2,161.5145876,-445.0258124
7,3,269.8005899,-272.8616852
7,4,296.5878130,-197.4080759
7,5,307.2702388,-155.1696398
7,6,312.6447046,-128.0480911
7,7,315.7443221,-109.1015267
7,8,317.7004274,-95.0915854
7,9,319.0165276,-84.2986884
8,1,-12204.087873,-584.381713
8,2,944.049668,-3460.419535
8,3,1859.619830,-2082.405984
8,4,2073.731412,-1494.873175
8,5,2157.035815,-1170.675295
8,6,2198.412225,-964.099512
8,7,2222.096670,-820.440378
8,8,2236.972439,-714.516527
8,9,2246.949085,-633.072836
9,1,-127957.54410,24763.15853
9,2,5847.29921,-30509.82261
9,3,14609.44345,-18017.82575
9,4,16548.40741,-12832.31223
9,5,17284.62288,-10011.73271
9,6,17645.66300,-8228.23470
9,7,17850.79042,-6993.52505
9,8,17979.01813,-6085.74594
9,9,18064.74179,-5389.10996}
